scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
0.6712,9894488847,-1,99116000000000.0,1.061494019,259.755005,800.98328,971.98529,371.65875,99225000000000.0,105940000000000.0,84761000000000.0,56075000000000.0,0.635,0.4032,2620.0,2620.0,8225.0,12760.0,11240.0,4.0865199844753,0.5712208447760567,0.315102223160028,0.4898688915375446,58.0,64.0,11.0,2.0
0.6712,9903823328,-1,94702000000000.0,1.045496948,237.714996,881.97003,990.57648,336.88016,94713000000000.0,99693000000000.0,83072000000000.0,55056000000000.0,0.6321,0.4215,7793.0,7793.0,6080.0,10470.0,11420.0,4.3981110388172,0.5621833388841059,0.3094120936755131,0.4898688915375446,69.0,74.0,20.0,7.0
0.6712,9893870286,-1,79356000000000.0,0.985664978,200.421997,814.02649,915.58997,310.48517,79404000000000.0,81733000000000.0,71906000000000.0,52477000000000.0,0.676,0.4505,9144.0,9144.0,15680.0,12930.0,12080.0,4.9179480932923,0.5284258894016586,0.2882600081916359,0.4898688915375446,62.0,62.0,22.0,6.0
0.6712,9894520856,-1,60539000000000.0,0.900630005,125.656998,860.5163,991.04926,362.65295,60561000000000.0,63450000000000.0,53787000000000.0,39768000000000.0,0.7308,0.5498,26250.0,26250.0,21890.0,11970.0,11530.0,7.1673684660204,0.4805808105354653,0.2585819776194783,0.4898688915375446,37.0,37.0,16.0,7.0
0.6712,9894486005,-1,75386000000000.0,0.968947998,220.987,801.55273,991.6062,343.66788,75420000000000.0,76705000000000.0,70011000000000.0,43740000000000.0,0.6357,0.526,7487.0,7487.0,11250.0,18340.0,18850.0,4.3846380013303,0.5190060169333269,0.2823879046173728,0.4898688915375446,57.0,57.0,23.0,9.0
0.6712,9903823580,-1,59136000000000.0,0.893617981,229.214005,874.88855,989.48157,363.19589,59161000000000.0,61773000000000.0,51559000000000.0,31316000000000.0,0.6627,0.5747,23570.0,23570.0,19890.0,13250.0,11810.0,3.8986185900813,0.4766429913585907,0.2561564738347628,0.4898688915375446,55.0,55.0,15.0,6.0
0.6712,9903240122,-1,94442000000000.0,1.044537964,252.653,870.26324,913.25342,304.78406,94549000000000.0,96101000000000.0,89436000000000.0,63866000000000.0,0.7045,0.5622,16840.0,16840.0,30330.0,24960.0,25610.0,4.1342788884359,0.5616424309802953,0.3090718288032859,0.4898688915375446,78.0,83.0,39.0,9.0
0.6712,9894489281,-1,76651000000000.0,0.974335022,228.102997,848.98627,997.34222,381.87628,76662000000000.0,80475000000000.0,66036000000000.0,45630000000000.0,0.6446,0.4215,19770.0,19770.0,8025.0,11180.0,9257.0,4.2714696203662,0.5220420273768799,0.2842788894938169,0.4898688915375446,42.0,42.0,14.0,2.0
0.6712,9903783393,-1,68359000000000.0,0.937853027,138.509003,870.20026,978.30457,311.18417,68362000000000.0,70089000000000.0,64149000000000.0,49299000000000.0,0.6614,0.4032,7999.0,7999.0,12500.0,5840.0,5178.0,6.771061856535,0.501503130323692,0.2715139620967189,0.4898688915375446,45.0,45.0,21.0,5.0
0.6712,9894526614,-1,74567000000000.0,0.965426025,152.113998,862.96594,954.18848,398.43994,74849000000000.0,76475000000000.0,70039000000000.0,50844000000000.0,0.6459,0.4215,5024.0,5024.0,9459.0,6664.0,6799.0,6.3467270448049,0.5170225370747296,0.2811531817823812,0.4898688915375446,21.0,21.0,10.0,1.0
0.6712,9894488051,-1,73974000000000.0,0.962859009,191.591995,809.30048,999.20044,390.70068,74098000000000.0,77151000000000.0,65648000000000.0,45948000000000.0,0.6508,0.4123,8289.0,8289.0,3381.0,9211.0,9369.0,5.0255701392952,0.5155774588071755,0.2802539713011244,0.4898688915375446,42.0,42.0,12.0,4.0
0.6712,9894526706,-1,62196000000000.0,0.908776001,172.669006,844.10577,997.56952,394.89294,62228000000000.0,63628000000000.0,57410000000000.0,45052000000000.0,0.7327,0.5032,9417.0,9417.0,18430.0,11350.0,11220.0,5.2631101669746,0.4851555534436877,0.2614033019136927,0.4898688915375446,42.0,42.0,18.0,9.0
0.6712,9893871810,-1,71341000000000.0,0.951297974,196.307007,867.96124,929.95074,348.85571,71513000000000.0,71986000000000.0,68362000000000.0,50196000000000.0,0.6896,0.5747,6392.0,6392.0,22180.0,17960.0,15660.0,4.8459705465327,0.5090680684066741,0.2762077953317257,0.4898688915375446,37.0,37.0,18.0,5.0
0.6712,9894448766,-1,58267000000000.0,0.889221008,215.378998,830.93097,951.30652,346.02173,58541000000000.0,60588000000000.0,50263000000000.0,35215000000000.0,0.676,0.4605,18320.0,18320.0,9034.0,6385.0,7989.0,4.1286337862895,0.4741733045485368,0.2546367573511719,0.4898688915375446,37.0,37.0,16.0,6.0
